timestamp,iface,can_id,dlc,data,priority,pdu_format,pdu_specific,pdu_type,pgn,pgn_label,destination,source,label,rule_name,rule_type,semantics,rule_severity,rule_layer,rule_description,context_pgn,context_value
0.095631,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.0988,can0,217055747,8,C12312FFF7E22003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.100815,can0,419356672,8,0F00000024963500,6,254,224,PDU2,65248,Vehicle Distance,,0,normal,,,,,,,,
0.100824,can0,217056000,8,D06927FFFF0F7B82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.104909,can0,419361280,8,C4003004A805E1FF,6,254,242,PDU2,65266,Fuel Economy (Liquid),,0,normal,,,,,,,,
0.105678,can0,418385664,8,A80FFFFFD59FFFFF,6,240,15,PDU2,61455,Aftertreatment 1 Outlet Gas 1,,0,normal,,,,,,,,
0.107258,can0,217056256,8,019D9DED2E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.108819,can0,217055747,8,C12312FFF7E22003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.109531,can0,217058307,8,C204D22EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.109951,can0,419355392,8,FFFF5D73FFFFFFFF,6,254,219,PDU2,65243,Engine Fluid Level/Pressure 2,,0,normal,,,,,,,,
0.114904,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.115499,can0,285015296,8,FFFFFFFF1077FFFF,4,252,253,PDU2,64765,Electronic Engine Controller 9,,0,normal,,,,,,,,
0.118789,can0,217055747,8,C12B12FFF7F12003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.120322,can0,217056000,8,D06927FFFF0F7B82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.123533,can0,217056049,8,FFFFFFFFFFFFFFFF,3,240,3,PDU2,61443,Electronic Engine Controller 2,,49,normal,,,,,,,,
0.125024,can0,418382080,8,FFFFFFFFFFFFFFFF,6,240,1,PDU2,61441,Electronic Brake Controller 1,,0,normal,,,,,,,,
0.126989,can0,217056256,8,019D9DEB2E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.128778,can0,217055747,8,C12B12FFF7F12003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.1294,can0,201392901,8,FFFFFFFFFFF3FFFF,3,1,3,PDU1,256,Transmission Control 1,3.0,5,normal,,,,,,,,
0.129972,can0,217058307,8,C004042FFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.130525,can0,419362304,8,FF1462FFFFFFFFFF,6,254,246,PDU2,65270,Intake/Exhaust Conditions 1,,0,normal,,,,,,,,
0.135687,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.139448,can0,217055747,8,C13812FFF7FB2003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.140842,can0,217056000,8,D06927FFFF0F7C82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.140851,can0,217057792,8,F104FF16FFFFFFFF,3,240,10,PDU2,61450,Engine Gas Flow Rate,,0,normal,,,,,,,,
0.141623,can0,419360768,8,FFFFFFC02BFFFFFF,6,254,240,PDU2,65264,Power Takeoff Information 1,,0,normal,,,,,,,,
0.142049,can0,418385408,8,5E3AFFFFD59FFFFF,6,240,14,PDU2,61454,Aftertreatment 1 Intake Gas 1,,0,normal,,,,,,,,
0.144969,can0,418394880,8,FFFFFFFFFFFFFFFF,6,240,51,PDU2,61491,Aftertreatment 1 SCR Ammonia Information 2,,0,normal,,,,,,,,
0.146956,can0,217056256,8,019D9DCC2E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.148779,can0,217055747,8,C13812FFF7FB2003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.149379,can0,217058307,8,BC04E42EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.149945,can0,419230208,8,E1FFFFFFFFFFFFFF,6,252,242,PDU2,64754,Engine Fuel/Throttle Valve Information 1,,0,normal,,,,,,,,
0.150501,can0,418383107,8,7F12077F35203243,6,240,5,PDU2,61445,Electronic Transmission Controller 2,,3,normal,,,,,,,,
0.151181,can0,419318275,8,030F4FFFFFF3FFFF,6,254,74,PDU2,65098,Electronic Transmission Controller 7,,3,normal,,,,,,,,
0.155165,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.155582,can0,419284480,8,FC04FFFFFFFFFFFF,6,253,198,PDU2,64966,Cold Start Aids,,0,normal,,,,,,,,
0.156241,can0,418385664,8,9E0FFFFFD59FFFFF,6,240,15,PDU2,61455,Aftertreatment 1 Outlet Gas 1,,0,normal,,,,,,,,
0.158796,can0,217055747,8,C14512FFF70F2103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.160327,can0,217056000,8,D06927FFFF0F7C82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.160932,can0,419361024,8,FFD414FCFF6800CF,6,254,241,PDU2,65265,Cruise Control/Vehicle Speed 1,,0,normal,,,,,,,,
